Order ID,Order Quantity,Shipping Time,Shipment Mode,Shipment Days - Scheduled,Delay Shipment,Customer Region,Customer Country,Warehouse Country,Order date,Order Year,Order Month,Order Day
558,1,6,First Class,1,Late,Central America,Mexico,Puerto Rico,2017-08-18 00:00:00,2017,8,18
6536,1,1,First Class,1,On time,South America,Brazil,Puerto Rico,2015-03-04 00:00:00,2015,3,4
15811,1,2,First Class,1,Late,Western Europe,Germany,Puerto Rico,2015-08-10 00:00:00,2015,8,10
21888,1,4,First Class,1,Late,South Asia,India,Puerto Rico,2015-10-28 00:00:00,2015,10,28
33331,1,2,Second Class,2,On time,US Center,USA,Puerto Rico,2016-01-23 00:00:00,2016,1,23
33331,1,2,Second Class,2,On time,US Center,USA,Puerto Rico,2016-01-27 00:00:00,2016,1,27
33331,1,3,Second Class,2,Late,US Center,USA,Puerto Rico,2016-01-30 00:00:00,2016,1,30
41283,1,2,First Class,1,Late,West of USA,USA,Puerto Rico,2016-07-08 00:00:00,2016,7,8
41521,1,2,Second Class,2,On time,East Africa,Madagascar,Puerto Rico,2016-07-29 00:00:00,2016,7,29
47001,1,3,First Class,1,Late,South Asia,Iran,Puerto Rico,2016-10-17 00:00:00,2016,10,17
47001,1,4,First Class,1,Late,South Asia,Iran,Puerto Rico,2016-11-06 00:00:00,2016,11,6
51806,1,2,Second Class,2,On time,Caribbean,Cuba,Puerto Rico,2016-12-24 00:00:00,2016,12,24
53548,1,2,First Class,1,Late,Central America,Mexico,Puerto Rico,2017-01-28 00:00:00,2017,1,28
59506,1,6,Second Class,2,Late,Central America,Nicaragua,Puerto Rico,2017-06-11 00:00:00,2017,6,11
61886,1,2,Second Class,2,On time,Northern Europe,United Kingdom,Puerto Rico,2017-07-30 00:00:00,2017,7,30
4135,1,3,Second Class,2,Late,Central America,Nicaragua,Puerto Rico,2015-01-30 00:00:00,2015,1,30
4991,1,3,First Class,1,Late,South America,Brazil,Puerto Rico,2015-02-07 00:00:00,2015,2,7
6393,1,4,First Class,1,Late,Central America,Mexico,Puerto Rico,2015-02-10 00:00:00,2015,2,10
6393,1,5,First Class,1,Late,Central America,Mexico,Puerto Rico,2015-02-13 00:00:00,2015,2,13
19948,1,4,Same Day,3,Late,Western Europe,Germany,Puerto Rico,2015-04-12 00:00:00,2015,4,12
23221,1,1,Second Class,2,On time,South Asia,Afghanistan,Puerto Rico,2015-04-22 00:00:00,2015,4,22
23295,1,5,Same Day,3,Late,Southeast Asia,Singapore,Puerto Rico,2015-04-25 00:00:00,2015,4,25
31296,1,4,Second Class,2,Late,Southeast Asia,Indonesia,Puerto Rico,2015-06-08 00:00:00,2015,6,8
31296,1,5,Second Class,2,Late,Southeast Asia,Indonesia,Puerto Rico,2015-06-12 00:00:00,2015,6,12
47568,1,3,First Class,1,Late,North Africa,Morocco,Puerto Rico,2015-10-22 00:00:00,2015,10,22
53321,1,2,Second Class,2,On time,Central America,Mexico,Puerto Rico,2015-11-27 00:00:00,2015,11,27
53321,1,2,Second Class,2,On time,Central America,Mexico,Puerto Rico,2015-12-05 00:00:00,2015,12,5
57561,1,3,First Class,1,Late,Central America,Mexico,Puerto Rico,2016-01-15 00:00:00,2016,1,15
63003,1,3,Second Class,2,Late,Northern Europe,United Kingdom,Puerto Rico,2016-02-19 00:00:00,2016,2,19
63003,1,6,Second Class,2,Late,Northern Europe,United Kingdom,Puerto Rico,2016-02-20 00:00:00,2016,2,20
65931,1,2,First Class,1,Late,Southern Europe,Spain,Puerto Rico,2016-03-10 00:00:00,2016,3,10
67613,1,5,Second Class,2,Late,Northern Europe,United Kingdom,Puerto Rico,2016-03-22 00:00:00,2016,3,22
853,1,6,Standard Class,4,Late,Central America,Mexico,Puerto Rico,2016-03-25 00:00:00,2016,3,25
1391,1,3,Standard Class,4,On time,Central America,Nicaragua,Puerto Rico,2016-04-01 00:00:00,2016,4,1
11341,1,6,Standard Class,4,Late,Western Europe,Netherlands,Puerto Rico,2016-07-11 00:00:00,2016,7,11
15306,1,6,Standard Class,4,Late,Western Europe,Germany,Puerto Rico,2016-08-09 00:00:00,2016,8,9
27553,1,4,Standard Class,4,On time,South Asia,India,Puerto Rico,2016-10-15 00:00:00,2016,10,15
37086,1,6,Standard Class,4,Late,South of  USA,USA,Puerto Rico,2016-12-24 00:00:00,2016,12,24
41573,1,2,Standard Class,4,On time,West Africa,Niger,Puerto Rico,2017-02-17 00:00:00,2017,2,17
45095,1,2,Standard Class,4,On time,West Asia,Turkey,Puerto Rico,2017-03-28 00:00:00,2017,3,28
47615,1,4,Standard Class,4,On time,Southern Africa,South Africa,Puerto Rico,2017-04-01 00:00:00,2017,4,1
49575,1,3,Standard Class,4,On time,West Asia,Iraq,Puerto Rico,2017-04-12 00:00:00,2017,4,12
49575,1,5,Standard Class,4,Late,West Asia,Iraq,Puerto Rico,2017-04-12 00:00:00,2017,4,12
55551,1,2,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2017-06-13 00:00:00,2017,6,13
57891,1,5,Standard Class,4,Late,Central America,Honduras,Puerto Rico,2017-08-13 00:00:00,2017,8,13
65801,1,2,Standard Class,4,On time,Western Europe,Germany,Puerto Rico,2017-09-11 00:00:00,2017,9,11
13965,1,2,Second Class,2,On time,Southern Europe,Italy,Puerto Rico,2015-04-23 00:00:00,2015,4,23
31085,1,2,Same Day,3,On time,Oceania,Australia,Puerto Rico,2015-09-12 00:00:00,2015,9,12
31085,1,2,Same Day,3,On time,Oceania,Australia,Puerto Rico,2015-09-17 00:00:00,2015,9,17
33398,1,2,Second Class,2,On time,West of USA,USA,Puerto Rico,2015-10-03 00:00:00,2015,10,3
35505,1,5,Second Class,2,Late,East of USA,USA,Puerto Rico,2015-12-16 00:00:00,2015,12,16
39648,1,2,Second Class,2,On time,East of USA,USA,Puerto Rico,2016-01-15 00:00:00,2016,1,15
43918,1,2,Same Day,3,On time,West Africa,Cote d'Ivoire,Puerto Rico,2016-02-18 00:00:00,2016,2,18
53513,1,2,Same Day,3,On time,Caribbean,Dominican Republic,Puerto Rico,2016-05-08 00:00:00,2016,5,8
61078,1,6,Second Class,2,Late,South America,Venezuela,Puerto Rico,2016-06-02 00:00:00,2016,6,2
63918,1,2,Second Class,2,On time,Western Europe,France,Puerto Rico,2016-10-18 00:00:00,2016,10,18
67608,1,5,Same Day,3,Late,Southern Europe,Italy,Puerto Rico,2016-11-21 00:00:00,2016,11,21
856,1,2,Second Class,2,On time,Central America,Mexico,Puerto Rico,2016-11-28 00:00:00,2016,11,28
2531,1,2,Second Class,2,On time,Central America,Nicaragua,Puerto Rico,2016-12-07 00:00:00,2016,12,7
7935,1,2,First Class,1,Late,Central America,Mexico,Puerto Rico,2017-03-12 00:00:00,2017,3,12
8305,1,6,First Class,1,Late,Central America,Honduras,Puerto Rico,2017-03-20 00:00:00,2017,3,20
8305,1,2,First Class,1,Late,Central America,Honduras,Puerto Rico,2017-04-09 00:00:00,2017,4,9
8986,1,2,Second Class,2,On time,Central America,Guatemala,Puerto Rico,2017-04-16 00:00:00,2017,4,16
13321,1,2,First Class,1,Late,Northern Europe,United Kingdom,Puerto Rico,2017-05-25 00:00:00,2017,5,25
19331,1,1,Second Class,2,On time,Western Europe,Germany,Puerto Rico,2017-08-02 00:00:00,2017,8,2
27306,1,6,First Class,1,Late,South Asia,Pakistan,Puerto Rico,2015-08-20 00:00:00,2015,8,20
27535,1,5,First Class,1,Late,Eastern Asia,China,Puerto Rico,2015-08-23 00:00:00,2015,8,23
31318,1,3,First Class,1,Late,US Center,USA,Puerto Rico,2015-10-29 00:00:00,2015,10,29
31501,1,3,Second Class,2,Late,South of  USA,USA,Puerto Rico,2015-11-11 00:00:00,2015,11,11
35038,1,5,First Class,1,Late,East of USA,USA,Puerto Rico,2016-04-22 00:00:00,2016,4,22
35038,1,4,First Class,1,Late,East of USA,USA,Puerto Rico,2016-05-02 00:00:00,2016,5,2
39383,1,2,First Class,1,Late,South of  USA,USA,Puerto Rico,2016-05-22 00:00:00,2016,5,22
39826,1,2,First Class,1,Late,West of USA,USA,Puerto Rico,2016-05-22 00:00:00,2016,5,22
49358,1,0,First Class,1,On time,Southern Europe,Croatia,Puerto Rico,2016-10-03 00:00:00,2016,10,3
55345,1,0,First Class,1,On time,South America,Brazil,Puerto Rico,2017-02-20 00:00:00,2017,2,20
5986,1,3,Standard Class,4,On time,South America,Ecuador,Puerto Rico,2015-01-01 00:00:00,2015,1,1
5986,1,3,Standard Class,4,On time,South America,Ecuador,Puerto Rico,2015-01-01 00:00:00,2015,1,1
6181,1,5,Standard Class,4,Late,South America,Ecuador,Puerto Rico,2015-01-04 00:00:00,2015,1,4
8926,1,4,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2015-01-29 00:00:00,2015,1,29
13831,1,4,Standard Class,4,On time,Northern Europe,Sweden,Puerto Rico,2015-03-02 00:00:00,2015,3,2
25568,1,2,Standard Class,4,On time,Oceania,Australia,Puerto Rico,2015-03-29 00:00:00,2015,3,29
33971,1,5,Standard Class,4,Late,West of USA,USA,Puerto Rico,2015-04-01 00:00:00,2015,4,1
45245,1,5,Standard Class,4,Late,West Asia,Syria,Puerto Rico,2015-05-02 00:00:00,2015,5,2
61383,1,5,Standard Class,4,Late,South America,Brazil,Puerto Rico,2015-05-13 00:00:00,2015,5,13
1968,1,3,Standard Class,4,On time,Caribbean,Haiti,Puerto Rico,2015-06-07 00:00:00,2015,6,7
3136,1,3,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2015-06-07 00:00:00,2015,6,7
8158,1,4,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2015-07-17 00:00:00,2015,7,17
25298,1,5,Standard Class,4,Late,Eastern Asia,China,Puerto Rico,2015-09-03 00:00:00,2015,9,3
25991,1,2,Standard Class,4,On time,South Asia,Bangladesh,Puerto Rico,2015-09-09 00:00:00,2015,9,9
37063,1,3,Standard Class,4,On time,US Center,USA,Puerto Rico,2015-11-30 00:00:00,2015,11,30
41628,1,5,Standard Class,4,Late,West Asia,Turkey,Puerto Rico,2015-12-26 00:00:00,2015,12,26
55931,1,5,Standard Class,4,Late,Central America,Panama,Puerto Rico,2016-02-20 00:00:00,2016,2,20
63386,1,6,Standard Class,4,Late,Western Europe,Netherlands,Puerto Rico,2016-04-13 00:00:00,2016,4,13
63386,1,6,Standard Class,4,Late,Western Europe,Netherlands,Puerto Rico,2016-04-28 00:00:00,2016,4,28
63926,1,6,Standard Class,4,Late,Southern Europe,Spain,Puerto Rico,2016-05-07 00:00:00,2016,5,7
67036,1,4,Standard Class,4,On time,Western Europe,Germany,Puerto Rico,2016-05-14 00:00:00,2016,5,14
6986,1,2,Standard Class,4,On time,South America,Argentina,Puerto Rico,2016-06-21 00:00:00,2016,6,21
17206,1,4,Standard Class,4,On time,Northern Europe,United Kingdom,Puerto Rico,2016-09-14 00:00:00,2016,9,14
17206,1,2,Standard Class,4,On time,Northern Europe,United Kingdom,Puerto Rico,2016-09-14 00:00:00,2016,9,14
19238,1,5,Standard Class,4,Late,Northern Europe,United Kingdom,Puerto Rico,2016-09-19 00:00:00,2016,9,19
35911,1,5,Standard Class,4,Late,US Center,USA,Puerto Rico,2017-01-26 00:00:00,2017,1,26
43256,1,2,Standard Class,4,On time,Eastern Europe,Romania,Puerto Rico,2017-03-27 00:00:00,2017,3,27
45643,1,6,Standard Class,4,Late,South Asia,Iran,Puerto Rico,2017-04-14 00:00:00,2017,4,14
47265,1,5,Standard Class,4,Late,Southern Africa,South Africa,Puerto Rico,2017-05-15 00:00:00,2017,5,15
49338,1,4,Standard Class,4,On time,West Asia,Turkey,Puerto Rico,2017-06-13 00:00:00,2017,6,13
57346,1,2,Standard Class,4,On time,Central America,Panama,Puerto Rico,2017-07-22 00:00:00,2017,7,22
61308,1,2,Standard Class,4,On time,South America,Brazil,Puerto Rico,2017-08-01 00:00:00,2017,8,1
61566,1,4,Standard Class,4,On time,South America,Brazil,Puerto Rico,2017-08-01 00:00:00,2017,8,1
63823,1,6,Standard Class,4,Late,Southern Europe,Spain,Puerto Rico,2017-08-28 00:00:00,2017,8,28
973,1,3,Standard Class,4,On time,Caribbean,Cuba,Puerto Rico,2015-01-07 00:00:00,2015,1,7
1563,1,3,Standard Class,4,On time,Caribbean,Dominican Republic,Puerto Rico,2015-01-07 00:00:00,2015,1,7
6505,1,2,Standard Class,4,On time,Caribbean,Dominican Republic,Puerto Rico,2015-04-09 00:00:00,2015,4,9
6995,1,5,Standard Class,4,Late,Central America,El Salvador,Puerto Rico,2015-04-12 00:00:00,2015,4,12
6995,1,2,Standard Class,4,On time,Central America,El Salvador,Puerto Rico,2015-04-21 00:00:00,2015,4,21
7958,1,2,Standard Class,4,On time,Central America,Honduras,Puerto Rico,2015-06-21 00:00:00,2015,6,21
11346,1,4,Standard Class,4,On time,Southern Europe,Italy,Puerto Rico,2015-08-27 00:00:00,2015,8,27
11346,1,5,Standard Class,4,Late,Southern Europe,Italy,Puerto Rico,2015-09-14 00:00:00,2015,9,14
11648,1,6,Standard Class,4,Late,Northern Europe,United Kingdom,Puerto Rico,2015-09-25 00:00:00,2015,9,25
13501,1,4,Standard Class,4,On time,Western Europe,France,Puerto Rico,2015-11-28 00:00:00,2015,11,28
13501,1,3,Standard Class,4,On time,Western Europe,France,Puerto Rico,2015-11-30 00:00:00,2015,11,30
13835,1,4,Standard Class,4,On time,Southern Europe,Italy,Puerto Rico,2016-01-05 00:00:00,2016,1,5
15233,1,3,Standard Class,4,On time,Southern Europe,Spain,Puerto Rico,2016-02-27 00:00:00,2016,2,27
21011,1,4,Standard Class,4,On time,South Asia,India,Puerto Rico,2016-09-07 00:00:00,2016,9,7
25563,1,3,Standard Class,4,On time,Oceania,Australia,Puerto Rico,2017-01-29 00:00:00,2017,1,29
25845,1,4,Standard Class,4,On time,Southeast Asia,Vietnam,Puerto Rico,2017-02-02 00:00:00,2017,2,2
27596,1,3,Standard Class,4,On time,Southeast Asia,Indonesia,Puerto Rico,2017-02-15 00:00:00,2017,2,15
29003,1,6,Standard Class,4,Late,Eastern Asia,Japan,Puerto Rico,2017-05-22 00:00:00,2017,5,22
31873,1,4,Standard Class,4,On time,West of USA,USA,Puerto Rico,2017-06-02 00:00:00,2017,6,2
41226,1,6,Standard Class,4,Late,West of USA,USA,Puerto Rico,2017-09-22 00:00:00,2017,9,22
43368,1,4,Standard Class,4,On time,Central Africa,Democratic Republic of Congo,Puerto Rico,2015-01-23 00:00:00,2015,1,23
45536,1,3,Standard Class,4,On time,West Asia,Turkey,Puerto Rico,2015-03-31 00:00:00,2015,3,31
47541,1,6,Standard Class,4,Late,West Asia,Turkey,Puerto Rico,2015-04-04 00:00:00,2015,4,4
47541,1,6,Standard Class,4,Late,West Asia,Turkey,Puerto Rico,2015-04-04 00:00:00,2015,4,4
49385,1,4,Standard Class,4,On time,West Africa,Nigeria,Puerto Rico,2015-05-07 00:00:00,2015,5,7
51053,1,4,Standard Class,4,On time,Eastern Europe,Belarus,Puerto Rico,2015-06-20 00:00:00,2015,6,20
51053,1,3,Standard Class,4,On time,Eastern Europe,Belarus,Puerto Rico,2015-06-23 00:00:00,2015,6,23
51095,1,5,Standard Class,4,Late,West Africa,Nigeria,Puerto Rico,2015-07-02 00:00:00,2015,7,2
51603,1,6,Standard Class,4,Late,Central America,Panama,Puerto Rico,2015-07-07 00:00:00,2015,7,7
61566,1,4,Standard Class,4,On time,South America,Brazil,Puerto Rico,2015-08-26 00:00:00,2015,8,26
65331,1,5,Standard Class,4,Late,Northern Europe,United Kingdom,Puerto Rico,2015-10-05 00:00:00,2015,10,5
4701,1,2,Standard Class,4,On time,Central America,El Salvador,Puerto Rico,2016-02-07 00:00:00,2016,2,7
6736,1,2,Standard Class,4,On time,Central America,Guatemala,Puerto Rico,2016-02-14 00:00:00,2016,2,14
7561,1,5,Standard Class,4,Late,Caribbean,Cuba,Puerto Rico,2016-02-20 00:00:00,2016,2,20
25298,1,4,Standard Class,4,On time,Eastern Asia,China,Puerto Rico,2016-09-25 00:00:00,2016,9,25
33338,1,2,Standard Class,4,On time,West of USA,USA,Puerto Rico,2016-12-08 00:00:00,2016,12,8
35566,1,4,Standard Class,4,On time,West of USA,USA,Puerto Rico,2016-12-13 00:00:00,2016,12,13
43376,1,4,Standard Class,4,On time,Central Asia,Uzbekistan,Puerto Rico,2017-01-15 00:00:00,2017,1,15
47533,1,4,Standard Class,4,On time,North Africa,Egypt,Puerto Rico,2017-02-04 00:00:00,2017,2,4
49038,1,6,Standard Class,4,Late,West Africa,Nigeria,Puerto Rico,2017-02-19 00:00:00,2017,2,19
61383,1,5,Standard Class,4,Late,South America,Brazil,Puerto Rico,2017-05-15 00:00:00,2017,5,15
65586,1,2,Standard Class,4,On time,Western Europe,France,Puerto Rico,2017-09-04 00:00:00,2017,9,4
67878,1,6,Standard Class,4,Late,Western Europe,France,Puerto Rico,2017-09-23 00:00:00,2017,9,23
856,1,2,Second Class,2,On time,Central America,Mexico,Puerto Rico,2015-01-13 00:00:00,2015,1,13
2735,1,5,Second Class,2,Late,Caribbean,Dominican Republic,Puerto Rico,2015-02-18 00:00:00,2015,2,18
2735,1,3,Second Class,2,Late,Caribbean,Dominican Republic,Puerto Rico,2015-02-28 00:00:00,2015,2,28
11915,1,6,Second Class,2,Late,Western Europe,France,Puerto Rico,2015-09-16 00:00:00,2015,9,16
13965,1,2,Second Class,2,On time,Southern Europe,Italy,Puerto Rico,2015-09-17 00:00:00,2015,9,17
19331,1,0,Second Class,2,On time,Western Europe,Germany,Puerto Rico,2016-06-01 00:00:00,2016,6,1
19331,1,2,Second Class,2,On time,Western Europe,Germany,Puerto Rico,2016-06-14 00:00:00,2016,6,14
27036,1,6,Second Class,2,Late,Oceania,Australia,Puerto Rico,2016-09-17 00:00:00,2016,9,17
27535,1,5,First Class,1,Late,Eastern Asia,China,Puerto Rico,2016-11-21 00:00:00,2016,11,21
39826,1,4,First Class,1,Late,West of USA,USA,Puerto Rico,2017-04-09 00:00:00,2017,4,9
43385,1,2,Same Day,3,On time,Eastern Europe,Romania,Puerto Rico,2017-07-07 00:00:00,2017,7,7
51028,1,5,First Class,1,Late,Southern Europe,Albania,Puerto Rico,2017-08-31 00:00:00,2017,8,31
53513,1,6,Same Day,3,Late,Caribbean,Dominican Republic,Puerto Rico,2017-09-07 00:00:00,2017,9,7
55026,1,1,First Class,1,On time,Central America,Mexico,Puerto Rico,2015-03-11 00:00:00,2015,3,11
55026,1,2,First Class,1,Late,Central America,Mexico,Puerto Rico,2015-06-08 00:00:00,2015,6,8
55096,1,2,First Class,1,Late,Caribbean,Dominican Republic,Puerto Rico,2015-06-08 00:00:00,2015,6,8
59653,1,4,First Class,1,Late,Caribbean,Cuba,Puerto Rico,2016-05-24 00:00:00,2016,5,24
59653,1,4,First Class,1,Late,Caribbean,Cuba,Puerto Rico,2016-05-24 00:00:00,2016,5,24
63366,1,0,First Class,1,On time,Western Europe,Germany,Puerto Rico,2017-02-20 00:00:00,2017,2,20
67608,1,2,Same Day,3,On time,Southern Europe,Italy,Puerto Rico,2017-07-13 00:00:00,2017,7,13
4991,1,2,First Class,1,Late,South America,Brazil,Puerto Rico,2015-03-14 00:00:00,2015,3,14
19578,1,1,Same Day,3,On time,Western Europe,France,Puerto Rico,2015-10-13 00:00:00,2015,10,13
37628,1,0,Same Day,3,On time,US Center,USA,Puerto Rico,2016-07-03 00:00:00,2016,7,3
41938,1,4,Second Class,2,Late,West Asia,Georgia,Puerto Rico,2016-09-04 00:00:00,2016,9,4
43656,1,2,Second Class,2,On time,Central Africa,Cameroon,Puerto Rico,2016-09-29 00:00:00,2016,9,29
43656,1,2,Second Class,2,On time,Central Africa,Cameroon,Puerto Rico,2016-09-29 00:00:00,2016,9,29
47568,1,2,First Class,1,Late,North Africa,Morocco,Puerto Rico,2016-11-25 00:00:00,2016,11,25
55661,1,2,Second Class,2,On time,South America,Brazil,Puerto Rico,2017-03-23 00:00:00,2017,3,23
55661,1,2,Second Class,2,On time,South America,Brazil,Puerto Rico,2017-03-23 00:00:00,2017,3,23
61256,1,2,Second Class,2,On time,South America,Chile,Puerto Rico,2017-06-13 00:00:00,2017,6,13
63003,1,4,Second Class,2,Late,Northern Europe,United Kingdom,Puerto Rico,2017-07-08 00:00:00,2017,7,8
65931,1,2,First Class,1,Late,Southern Europe,Spain,Puerto Rico,2017-08-20 00:00:00,2017,8,20
476,1,2,Standard Class,4,On time,South America,Colombia,Puerto Rico,2015-01-07 00:00:00,2015,1,7
2393,1,4,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2015-02-04 00:00:00,2015,2,4
4956,1,2,Standard Class,4,On time,Caribbean,Dominican Republic,Puerto Rico,2015-03-14 00:00:00,2015,3,14
13265,1,6,Standard Class,4,Late,Western Europe,France,Puerto Rico,2015-07-13 00:00:00,2015,7,13
15306,1,2,Standard Class,4,On time,Western Europe,Germany,Puerto Rico,2015-08-12 00:00:00,2015,8,12
15865,1,6,Standard Class,4,Late,Northern Europe,United Kingdom,Puerto Rico,2015-08-20 00:00:00,2015,8,20
17631,1,2,Standard Class,4,On time,Western Europe,Netherlands,Puerto Rico,2015-09-15 00:00:00,2015,9,15
19325,1,6,Standard Class,4,Late,Western Europe,Netherlands,Puerto Rico,2015-10-10 00:00:00,2015,10,10
27031,1,2,Standard Class,4,On time,Oceania,Australia,Puerto Rico,2016-01-30 00:00:00,2016,1,30
27553,1,4,Standard Class,4,On time,South Asia,India,Puerto Rico,2016-02-07 00:00:00,2016,2,7
27808,1,4,Standard Class,4,On time,South Asia,India,Puerto Rico,2016-02-10 00:00:00,2016,2,10
31606,1,2,Standard Class,4,On time,West of USA,USA,Puerto Rico,2016-04-06 00:00:00,2016,4,6
39351,1,2,Standard Class,4,On time,West of USA,USA,Puerto Rico,2016-07-28 00:00:00,2016,7,28
41573,1,4,Standard Class,4,On time,West Africa,Niger,Puerto Rico,2016-08-29 00:00:00,2016,8,29
47615,1,6,Standard Class,4,Late,Southern Africa,South Africa,Puerto Rico,2016-11-26 00:00:00,2016,11,26
51601,1,2,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2017-01-23 00:00:00,2017,1,23
55551,1,2,Standard Class,4,On time,Central America,Mexico,Puerto Rico,2017-03-21 00:00:00,2017,3,21
