ShipmentID,Shipment date,Shipment Year,Shipment Month,Shipment Day,Shipment Mode,Shipment Days - Scheduled,Delay Shipment
261,2016-12-07,2016,12,7,Second Class,2,On time
262,2017-02-08,2017,2,8,Second Class,2,On time
263,2017-05-19,2017,5,19,Same Day,3,Late
264,2017-06-19,2017,6,19,Same Day,3,Late
265,2017-07-26,2017,7,26,Same Day,3,Late
266,2017-07-24,2017,7,24,Same Day,3,Late
267,2017-07-30,2017,7,30,Same Day,3,Late
268,2017-09-14,2017,9,14,Same Day,3,Late
269,2017-09-22,2017,9,22,Same Day,3,Late
270,2015-02-09,2015,2,9,Second Class,2,On time
271,2015-02-20,2015,2,20,Second Class,2,On time
272,2015-04-02,2015,4,2,Second Class,2,On time
273,2015-04-08,2015,4,8,Second Class,2,On time
274,2015-05-09,2015,5,9,Second Class,2,On time
275,2015-05-13,2015,5,13,Second Class,2,On time
276,2015-08-22,2015,8,22,Second Class,2,On time
277,2015-08-23,2015,8,23,Second Class,2,On time
278,2015-08-26,2015,8,26,Second Class,2,On time
279,2015-10-03,2015,10,3,First Class,1,Late
280,2015-11-10,2015,11,10,First Class,1,Late
281,2015-12-02,2015,12,2,First Class,1,Late
282,2016-01-01,2016,1,1,First Class,1,Late
283,2016-03-04,2016,3,4,First Class,1,Late
284,2016-07-04,2016,7,4,First Class,1,Late
285,2016-08-20,2016,8,20,First Class,1,Late
286,2016-08-29,2016,8,29,First Class,1,Late
287,2016-09-03,2016,9,3,First Class,1,Late
288,2016-10-18,2016,10,18,First Class,1,Late
289,2016-10-22,2016,10,22,First Class,1,Late
290,2017-01-04,2017,1,4,First Class,1,Late
291,2017-01-20,2017,1,20,First Class,1,Late
292,2017-02-11,2017,2,11,First Class,1,Late
293,2017-04-07,2017,4,7,First Class,1,Late
294,2017-04-12,2017,4,12,First Class,1,Late
295,2017-04-18,2017,4,18,First Class,1,Late
296,2015-01-28,2015,1,28,Standard Class,4,Late
297,2015-04-04,2015,4,4,Standard Class,4,Late
298,2015-05-20,2015,5,20,Standard Class,4,Late
299,2015-06-20,2015,6,20,Standard Class,4,On time
300,2015-07-27,2015,7,27,Standard Class,4,On time
301,2016-03-28,2016,3,28,Standard Class,4,On time
302,2016-04-05,2016,4,5,Standard Class,4,On time
303,2016-07-23,2016,7,23,Standard Class,4,On time
304,2017-01-01,2017,1,1,Standard Class,4,On time
305,2017-03-18,2017,3,18,Standard Class,4,On time
306,2017-04-02,2017,4,2,Standard Class,4,Late
307,2017-04-19,2017,4,19,Standard Class,4,Late
308,2017-05-09,2017,5,9,Standard Class,4,Late
309,2017-06-17,2017,6,17,Standard Class,4,Late
310,2015-01-25,2015,1,25,Standard Class,4,On time
311,2015-08-09,2015,8,9,Standard Class,4,On time
312,2015-11-30,2015,11,30,Standard Class,4,On time
313,2016-03-06,2016,3,6,Standard Class,4,On time
314,2016-05-12,2016,5,12,Standard Class,4,On time
315,2016-07-26,2016,7,26,Standard Class,4,On time
316,2016-10-11,2016,10,11,Standard Class,4,On time
317,2016-11-09,2016,11,9,Standard Class,4,On time
318,2016-11-28,2016,11,28,Standard Class,4,On time
319,2016-11-26,2016,11,26,Standard Class,4,On time
320,2017-01-03,2017,1,3,Standard Class,4,On time
321,2017-06-14,2017,6,14,Standard Class,4,On time
322,2017-07-18,2017,7,18,Standard Class,4,On time
323,2017-07-25,2017,7,25,Standard Class,4,Late
324,2017-07-28,2017,7,28,Standard Class,4,Late
325,2017-08-10,2017,8,10,Standard Class,4,Late
326,2017-08-13,2017,8,13,Standard Class,4,Late
327,2017-09-02,2017,9,2,Standard Class,4,Late
328,2015-01-17,2015,1,17,Standard Class,4,On time
329,2015-04-26,2015,4,26,Standard Class,4,On time
330,2015-06-13,2015,6,13,Standard Class,4,On time
331,2015-06-17,2015,6,17,Standard Class,4,On time
332,2015-09-22,2015,9,22,Standard Class,4,On time
333,2016-03-05,2016,3,5,Standard Class,4,Late
334,2016-05-07,2016,5,7,Standard Class,4,On time
335,2016-06-01,2016,6,1,Standard Class,4,On time
336,2016-06-12,2016,6,12,Standard Class,4,On time
337,2015-05-25,2015,5,25,Standard Class,4,On time
338,2015-10-15,2015,10,15,Standard Class,4,Late
339,2015-10-19,2015,10,19,Standard Class,4,On time
340,2015-12-16,2015,12,16,Standard Class,4,On time
341,2015-12-17,2015,12,17,Standard Class,4,On time
342,2016-06-09,2016,6,9,Standard Class,4,Late
343,2016-12-25,2016,12,25,Standard Class,4,On time
344,2017-09-17,2017,9,17,Standard Class,4,On time
345,2015-02-04,2015,2,4,Standard Class,4,On time
346,2015-05-13,2015,5,13,Standard Class,4,On time
347,2015-05-27,2015,5,27,Standard Class,4,On time
348,2015-06-25,2015,6,25,Standard Class,4,Late
349,2015-07-14,2015,7,14,Standard Class,4,On time
350,2015-07-19,2015,7,19,Standard Class,4,On time
351,2016-01-19,2016,1,19,Standard Class,4,On time
352,2016-01-17,2016,1,17,Standard Class,4,On time
353,2016-04-06,2016,4,6,Standard Class,4,On time
354,2016-05-05,2016,5,5,Standard Class,4,On time
355,2016-08-27,2016,8,27,Standard Class,4,On time
356,2016-11-01,2016,11,1,Standard Class,4,On time
357,2016-12-27,2016,12,27,Standard Class,4,Late
358,2017-02-22,2017,2,22,Standard Class,4,On time
359,2017-03-22,2017,3,22,Standard Class,4,On time
360,2015-05-18,2015,5,18,Second Class,2,Late
361,2015-06-17,2015,6,17,Second Class,2,On time
362,2015-09-14,2015,9,14,Second Class,2,Late
363,2015-09-12,2015,9,12,Second Class,2,On time
364,2015-11-06,2015,11,6,First Class,1,Late
365,2016-02-11,2016,2,11,Same Day,3,On time
366,2016-03-03,2016,3,3,Same Day,3,On time
367,2016-06-29,2016,6,29,Same Day,3,On time
368,2016-08-01,2016,8,1,Same Day,3,On time
369,2016-08-25,2016,8,25,Second Class,2,Late
370,2016-12-26,2016,12,26,First Class,1,Late
371,2017-01-20,2017,1,20,Second Class,2,On time
372,2017-04-22,2017,4,22,First Class,1,Late
373,2015-01-26,2015,1,26,Second Class,2,On time
374,2015-06-10,2015,6,10,First Class,1,On time
375,2015-06-28,2015,6,28,Second Class,2,On time
376,2015-07-12,2015,7,12,Second Class,2,On time
377,2015-09-21,2015,9,21,First Class,1,On time
378,2016-01-08,2016,1,8,First Class,1,On time
379,2016-05-11,2016,5,11,Second Class,2,On time
380,2016-06-09,2016,6,9,Second Class,2,On time
381,2016-08-01,2016,8,1,First Class,1,On time
382,2017-02-22,2017,2,22,Standard Class,4,Late
383,2017-04-11,2017,4,11,Standard Class,4,Late
384,2017-08-07,2017,8,7,Standard Class,4,Late
385,2017-09-17,2017,9,17,Standard Class,4,Late
386,2015-02-28,2015,2,28,Standard Class,4,On time
387,2015-12-30,2015,12,30,Standard Class,4,On time
388,2016-01-14,2016,1,14,Standard Class,4,On time
389,2016-02-29,2016,2,29,Standard Class,4,On time
390,2016-06-03,2016,6,3,Standard Class,4,On time
391,2016-10-29,2016,10,29,Standard Class,4,On time
392,2017-01-11,2017,1,11,Standard Class,4,Late
393,2017-06-09,2017,6,9,First Class,1,Late
394,2017-06-15,2017,6,15,Standard Class,4,Late
395,2017-06-19,2017,6,19,Standard Class,4,Late
396,2017-09-20,2017,9,20,Standard Class,4,Late
397,2017-10-07,2017,10,7,Standard Class,4,Late
398,2015-08-26,2015,8,26,Standard Class,4,On time
399,2015-09-11,2015,9,11,Same Day,3,On time
400,2016-07-21,2016,7,21,Standard Class,4,On time
401,2017-02-26,2017,2,26,Standard Class,4,On time
402,2017-04-13,2017,4,13,Standard Class,4,On time
403,2017-06-09,2017,6,9,Second Class,2,Late
404,2017-08-12,2017,8,12,Second Class,2,Late
405,2017-09-02,2017,9,2,Same Day,3,Late
406,2015-01-23,2015,1,23,First Class,1,On time
407,2016-04-04,2016,4,4,First Class,1,On time
408,2016-06-01,2016,6,1,Standard Class,4,Late
409,2016-08-06,2016,8,6,Standard Class,4,Late
410,2016-09-19,2016,9,19,Standard Class,4,Late
411,2016-12-21,2016,12,21,Standard Class,4,Late
412,2017-05-05,2017,5,5,Standard Class,4,Late
413,2017-06-08,2017,6,8,Standard Class,4,Late
414,2017-08-05,2017,8,5,Standard Class,4,Late
415,2017-09-19,2017,9,19,Standard Class,4,Late
416,2017-09-27,2017,9,27,Standard Class,4,Late
417,2015-10-04,2015,10,4,Standard Class,4,On time
418,2015-10-21,2015,10,21,Standard Class,4,On time
419,2016-05-25,2016,5,25,Standard Class,4,On time
420,2017-09-05,2017,9,5,Standard Class,4,Late
421,2017-09-23,2017,9,23,Standard Class,4,Late
422,2015-12-16,2015,12,16,Same Day,3,Late
423,2016-03-26,2016,3,26,First Class,1,Late
424,2016-05-29,2016,5,29,Second Class,2,Late
425,2016-11-17,2016,11,17,First Class,1,Late
426,2017-03-20,2017,3,20,First Class,1,Late
427,2017-04-24,2017,4,24,Second Class,2,Late
428,2017-06-12,2017,6,12,Second Class,2,Late
429,2017-07-31,2017,7,31,Second Class,2,Late
430,2015-02-12,2015,2,12,Standard Class,4,Late
431,2015-03-12,2015,3,12,Standard Class,4,Late
432,2015-06-26,2015,6,26,Standard Class,4,Late
433,2015-08-14,2015,8,14,Standard Class,4,Late
434,2015-10-30,2015,10,30,Standard Class,4,Late
435,2016-06-10,2016,6,10,Standard Class,4,On time
436,2016-06-29,2016,6,29,Standard Class,4,On time
437,2016-07-04,2016,7,4,Standard Class,4,Late
438,2016-07-27,2016,7,27,Standard Class,4,On time
439,2015-04-02,2015,4,2,First Class,1,Late
440,2015-04-08,2015,4,8,First Class,1,Late
441,2015-12-17,2015,12,17,First Class,1,Late
442,2016-01-05,2016,1,5,Same Day,3,On time
443,2016-01-16,2016,1,16,Second Class,2,Late
444,2016-02-02,2016,2,2,First Class,1,Late
445,2016-03-17,2016,3,17,Second Class,2,Late
446,2016-03-15,2016,3,15,First Class,1,Late
447,2016-04-06,2016,4,6,Second Class,2,On time
448,2016-08-07,2016,8,7,Second Class,2,On time
449,2016-08-27,2016,8,27,First Class,1,Late
450,2016-10-04,2016,10,4,First Class,1,Late
451,2017-02-27,2017,2,27,Second Class,2,On time
452,2017-03-17,2017,3,17,First Class,1,Late
453,2017-08-17,2017,8,17,First Class,1,Late
454,2015-01-06,2015,1,6,Standard Class,4,On time
455,2015-01-23,2015,1,23,Standard Class,4,On time
456,2015-03-15,2015,3,15,Standard Class,4,On time
457,2015-09-09,2015,9,9,Standard Class,4,On time
458,2015-09-15,2015,9,15,Standard Class,4,On time
459,2015-10-11,2015,10,11,Standard Class,4,Late
460,2015-11-19,2015,11,19,Standard Class,4,On time
461,2015-12-13,2015,12,13,Standard Class,4,On time
462,2017-04-22,2017,4,22,Standard Class,4,On time
463,2015-08-18,2015,8,18,First Class,1,Late
464,2015-10-17,2015,10,17,Second Class,2,On time
465,2016-05-03,2016,5,3,Second Class,2,On time
466,2016-08-06,2016,8,6,First Class,1,Late
467,2016-08-07,2016,8,7,First Class,1,Late
468,2016-09-21,2016,9,21,Second Class,2,On time
469,2017-09-10,2017,9,10,First Class,1,Late
470,2015-04-30,2015,4,30,Standard Class,4,On time
471,2015-05-16,2015,5,16,Standard Class,4,On time
472,2015-07-13,2015,7,13,Standard Class,4,On time
473,2015-11-12,2015,11,12,Standard Class,4,On time
474,2016-03-10,2016,3,10,Standard Class,4,Late
475,2016-03-15,2016,3,15,Standard Class,4,On time
476,2016-06-05,2016,6,5,Standard Class,4,Late
477,2016-06-05,2016,6,5,Standard Class,4,On time
478,2016-06-26,2016,6,26,Standard Class,4,On time
479,2016-08-06,2016,8,6,Standard Class,4,On time
480,2016-08-07,2016,8,7,Standard Class,4,On time
481,2017-04-19,2017,4,19,Standard Class,4,On time
482,2017-04-30,2017,4,30,Standard Class,4,On time
483,2017-08-12,2017,8,12,Standard Class,4,On time
484,2017-09-16,2017,9,16,Standard Class,4,On time
485,2017-05-22,2017,5,22,Standard Class,4,On time
486,2017-07-22,2017,7,22,Standard Class,4,On time
487,2015-07-10,2015,7,10,Same Day,3,On time
488,2015-11-17,2015,11,17,Second Class,2,Late
489,2016-03-09,2016,3,9,Second Class,2,Late
490,2016-04-11,2016,4,11,Same Day,3,On time
491,2016-05-03,2016,5,3,Second Class,2,Late
492,2016-10-24,2016,10,24,Second Class,2,Late
493,2017-07-26,2017,7,26,Second Class,2,Late
494,2017-09-13,2017,9,13,Second Class,2,Late
495,2015-02-09,2015,2,9,First Class,1,Late
496,2015-04-28,2015,4,28,First Class,1,Late
497,2015-08-24,2015,8,24,First Class,1,Late
498,2015-10-12,2015,10,12,Second Class,2,On time
499,2016-01-16,2016,1,16,Second Class,2,On time
500,2016-04-04,2016,4,4,First Class,1,Late
501,2016-06-02,2016,6,2,First Class,1,Late
502,2016-10-22,2016,10,22,Second Class,2,On time
503,2016-10-26,2016,10,26,First Class,1,Late
504,2017-01-16,2017,1,16,First Class,1,Late
505,2017-05-22,2017,5,22,First Class,1,Late
506,2017-06-16,2017,6,16,Second Class,2,On time
507,2017-07-15,2017,7,15,First Class,1,Late
508,2015-07-23,2015,7,23,Standard Class,4,On time
509,2016-09-27,2016,9,27,Standard Class,4,On time
510,2016-12-20,2016,12,20,Standard Class,4,On time
511,2017-01-26,2017,1,26,Standard Class,4,Late
512,2015-01-13,2015,1,13,Standard Class,4,On time
513,2015-01-19,2015,1,19,Standard Class,4,On time
514,2015-02-14,2015,2,14,Standard Class,4,On time
515,2015-04-02,2015,4,2,Standard Class,4,On time
516,2015-04-11,2015,4,11,Standard Class,4,Late
517,2015-05-01,2015,5,1,Standard Class,4,On time
518,2015-08-10,2015,8,10,Standard Class,4,On time
519,2015-10-10,2015,10,10,Standard Class,4,On time
520,2015-11-05,2015,11,5,Standard Class,4,On time
521,2015-11-07,2015,11,7,Standard Class,4,On time
522,2016-02-12,2016,2,12,Standard Class,4,On time
523,2016-03-03,2016,3,3,Standard Class,4,On time
524,2016-08-26,2016,8,26,Standard Class,4,On time
525,2016-09-01,2016,9,1,Standard Class,4,On time
